textDisplay|vader_scores|vader_compound|vader_classification|classification_threshold|sentiment_intensity
"CÓMO Q 9.3??? YO LE PONDRÍA INFINITO/10 ESTO ES UNA OBRA MAESTra <a href=""https://www.youtube.com/watch?v=_ZF2rd1T5Bk&amp;t=10m49s"">10:49</a>"|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
En mi opinión decir que es el mejor juego de la historia de Spiderman,no es mojarse|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Lo de los aros cuando planeas eso se puede ocultar?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
&quot;Alarañas&quot; ay estos españoles|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
GOTY|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
JODER MACHO CON EL TIPICO COMENTARIO DE &quot;NO BUSCA REINVENTAR NADA&quot; ¿QUE NECESITAIS VOSOTROS?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Pintaza, Imsomniac es un de los estudios del momento. Muchas ganas de ver qué están preparando con Wolverine.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
deberian de encargarse de alguna saga de Iron Man|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
ajjajaja son los mejores vendiendo su anitol, basuras vándalos|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Lo mismo de siempre, cagada de juego|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Chau. Starfield|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Resumen: ¡Si vale la pena!|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Vamos a ver cómo Sony se las apaña para lo que se le viene con un solo juego|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Hubiera sido un juegazo con unreal 5|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Que buena pelicula :v|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Amo Zelda TOTK pero este Spiderman 2 pinta a GOTY.<br><br>RIP XBOX|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Prensa sonyer|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Que ganas de fumarme este juego|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
¿Qué coño son &quot;ezpis&quot; o algo así?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Oww Se Ve Bonito|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Toda la prensa comprada.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Habeis dicho lo de que es el mejor juego de superheroes de la historia?<br>La premisa de sony era la misma para videos y prensa escrita.<br><br>Animo que vienen las vacas flacas|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Bueno siendo coherente con el 5,8 de starfield,este es un 2,2.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Entonces ya a salido?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Pe….pe…pero mil planetas y…y… pantallas de carga|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
En definitiva: GOTY 2023|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Haaaa me siento como en casa en esta canal hermanos .|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Goty?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Nada pues goty|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Como me Kgan los títulos donde ponen: Merece la pena?<br>Pf que pdnjos se ven jaja|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
peleas intensas y desafiantes cuando en el gameplay nisiquiera lo tocan y tiene toda la vida llena JAJAJA|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Muy buen juego este nuevo Espiderman 2, aunque un poco continuista.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Que lo saquen pa pc no?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
alchile es un 8 o 8.5|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
"<a href=""https://www.youtube.com/watch?v=_ZF2rd1T5Bk&amp;t=6m38s"">6:38</a> vaya cachondeo, el bicho 30 segundos seguidos recibiendo golpes y el comunicador dice que son peleas intensas y desafiantes"|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Is that Spider-Man??? Or RAIDEN??|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Tremendos exagerados jkjajkhajkja|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
ME DA VERGÜENZA QUE PONGAN &quot;MERECE LA PENA&quot;? Que Falta De Respeto, Están De Coña?????|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Le están dando unas notas increíbles de todas partes, a disfrutar de este juegazo gente!! Y ni caso a lo que digan los tóxicos de siempre|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Comenta si tienes ps4 y tienes confianza en que salga para ps4|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
NO.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Alguien reservo el juego el game?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Vandal tengo una pregunta, se ve peor en el video o es q el juego se ve asi ( me refiero a los gráficos ) es q tengo el miedo de q se vea mal|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Ni compras ni flautas, aquí está el espíritu de los videojuegos, los que pueden disfrutar de  juegos como éste son los que ganan.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Pueden hacer tambien la reseña del juego pero para PS4?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Un triple a que otra vez juega sobre seguro, un sistema de sigilo facil y obsoleto y misiones secundarias, nuevamente, repetitivas y obsoletas. Resultado, demosle un 93, la prensa cuando sale un juego de sony le importa un bledo las cosas negativas JAJA|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
En serio hay alguien que se cree la nota a esta altura? Era sabido que lo sobrevalorarian como hacen con todos los exclusivos de Sony.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Considero a el ¿MERECE la PENA? en el Título como algo retórico, una pregunta a ese estilo. Sí, debe ser eso... efectivamente|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
‼️‼️Se viene la chupadera de pitó a papi geystation ‼️‼️|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
JAJAJAJA literal dijeron nos da igual que sea identico a los otros dos juegos, mientras que de starfiel dijeron que repetía lo mismo de skyrim y por ello lo hacía monótono y repetitivo, así o más comprados?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Juego meco de 11 horas|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Se viene el GOTY 23’|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Se puede stremear ya el juego?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Deci algo mas de Venom. Para eso vinimos.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
